date,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2020-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2020-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2020-03-05,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,
2020-03-06,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,
2020-03-07,,,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,0.0,
2020-03-08,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.0,
2020-03-09,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.0,
2020-03-10,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,0.0,,,,0.0,,,0.0,
2020-03-11,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,0.0,,,,0.0,,,0.0,
2020-03-12,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,
2020-03-13,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,
2020-03-14,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
2020-03-15,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
2020-03-16,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
2020-03-17,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,
2020-03-18,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,0.0
2020-03-19,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,2.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
2020-03-24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0
2020-03-26,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0
2020-03-28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
2020-03-29,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
2020-03-30,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,15.0,0.0
2020-03-31,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
2020-04-01,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0
2020-04-02,0.0,0.0,0.0,0.0,1.0,12.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,3.0,2.0,24.0,0.0
2020-04-03,0.0,1.0,4.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,31.0,0.0
2020-04-04,0.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,11.0,2.0,0.0,0.0,1.0,5.0,1.0,41.0,0.0
2020-04-05,0.0,0.0,3.0,0.0,2.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
